JobId|Link|Job Title|Post Date|Business|Province/State|City|Salary
41432816|https://www.jobbank.gc.ca/jobsearch/jobposting/41432816?source=searchresults|high school teacher|July-10-2024|Government of Nunavut|Nunavut|Cape Dorset|Salary not available
41432664|https://www.jobbank.gc.ca/jobsearch/jobposting/41432664?source=searchresults|high school teacher|July-10-2024|Government of Nunavut|Nunavut|Cape Dorset|Salary not available
41420249|https://www.jobbank.gc.ca/jobsearch/jobposting/41420249?source=searchresults|grade school teacher|July-08-2024|Government of Nunavut|Nunavut|Chesterfield Inlet|Salary not available
41417516|https://www.jobbank.gc.ca/jobsearch/jobposting/41417516?source=searchresults|kindergarten teacher|July-07-2024|Government of Nunavut|Nunavut|Whale Cove|Salary not available
41417559|https://www.jobbank.gc.ca/jobsearch/jobposting/41417559?source=searchresults|kindergarten teacher|July-07-2024|Government of Nunavut|Nunavut|Whale Cove|Salary not available
41409613|https://www.jobbank.gc.ca/jobsearch/jobposting/41409613?source=searchresults|English literature high school teacher|July-05-2024|Government of Nunavut|Nunavut|Taloyoak|Salary not available
41290607|https://www.jobbank.gc.ca/jobsearch/jobposting/41290607?source=searchresults|retail store department head|June-17-2024|The North West Company LP|Nunavut|Arctic Bay|Salary: $47,697.00 annually
41386668|https://www.jobbank.gc.ca/jobsearch/jobposting/41386668?source=searchresults|physical education teacher - elementary school|July-02-2024|Government of Nunavut|Nunavut|Repulse Bay|Salary not available
41387690|https://www.jobbank.gc.ca/jobsearch/jobposting/41387690?source=searchresults|high school teacher, science|July-02-2024|Government of Nunavut|Nunavut|Arctic Bay|Salary not available
41379586|https://www.jobbank.gc.ca/jobsearch/jobposting/41379586?source=searchresults|high school teacher, science|June-30-2024|Government of Nunavut|Nunavut|Gjoa Haven|Salary not available
41379684|https://www.jobbank.gc.ca/jobsearch/jobposting/41379684?source=searchresults|language teacher - elementary school|June-30-2024|Government of Nunavut|Nunavut|Cape Dorset|Salary not available
41379758|https://www.jobbank.gc.ca/jobsearch/jobposting/41379758?source=searchresults|cooperative learning teacher|June-30-2024|Government of Nunavut|Nunavut|Cambridge Bay|Salary not available
41379814|https://www.jobbank.gc.ca/jobsearch/jobposting/41379814?source=searchresults|kindergarten teacher|June-30-2024|Government of Nunavut|Nunavut|Qikiqtarjuaq|Salary not available
41379817|https://www.jobbank.gc.ca/jobsearch/jobposting/41379817?source=searchresults|elementary school teacher|June-30-2024|Government of Nunavut|Nunavut|Kugluktuk|Salary not available
41379860|https://www.jobbank.gc.ca/jobsearch/jobposting/41379860?source=searchresults|elementary school teacher|June-30-2024|Government of Nunavut|Nunavut|Igloolik|Salary not available
41379957|https://www.jobbank.gc.ca/jobsearch/jobposting/41379957?source=searchresults|grade school teacher|June-30-2024|Government of Nunavut|Nunavut|Cape Dorset|Salary not available
41380023|https://www.jobbank.gc.ca/jobsearch/jobposting/41380023?source=searchresults|kindergarten teacher|June-30-2024|Government of Nunavut|Nunavut|Arviat|Salary not available
41380027|https://www.jobbank.gc.ca/jobsearch/jobposting/41380027?source=searchresults|principal|June-30-2024|Government of Nunavut|Nunavut|Coral Harbour|Salary not available
41380046|https://www.jobbank.gc.ca/jobsearch/jobposting/41380046?source=searchresults|high school teacher, science|June-30-2024|Government of Nunavut|Nunavut|Igloolik|Salary not available
41380076|https://www.jobbank.gc.ca/jobsearch/jobposting/41380076?source=searchresults|kindergarten teacher|June-30-2024|Government of Nunavut|Nunavut|Whale Cove|Salary not available
41380150|https://www.jobbank.gc.ca/jobsearch/jobposting/41380150?source=searchresults|instructor of persons with a learning disability|June-30-2024|Government of Nunavut|Nunavut|Coral Harbour|Salary not available
